Credit name,Status,Currency,Percentage remaining,Remaining value,Original value,Type,Credit ID,Scope,Start date,End date,Credit application type
Free Trial,Available,??,100,28443.76,28443.76,One-time,FreeTrial:Credit-016AEC-6BB989-39720F,Certain usage; see the terms for free trial.,4/11/2026,7/11/2026,Net pricing
Google Developer Program premium benefit - CREDIT_TYPE_MONTHLY,Available,??,100,948.13,948.13,One-time,d7b0ed6e-527a-416d-9800-5cdb895ced8a-CREDIT_TYPE_MONTHLY-f9cedfe2-248e-4919-9795-e44c183d2be9,Following services: All of Google Cloud Platform and Google Maps APIs.,4/11/2026,4/6/2027,List pricing
